step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status
0,1,char_smoke,initial,supervised_ce,4.01388359,4.01388359,4.01388359,0.00000000,0.00000000,0.00000000,,,,,,cpu,,ok
1,1,char_smoke,residual_update,supervised_ce,4.01388359,4.00487614,4.01388359,1.28032532,0.00000000,0.00000000,,,,,,cpu,,ok
2,1,char_smoke,residual_update,supervised_ce,4.01388359,3.99600124,4.01388359,2.55779868,0.00000000,0.00000000,,,,,,cpu,,ok
3,1,char_smoke,residual_update,supervised_ce,4.01388359,3.98725820,4.01388359,3.82820007,0.00000000,0.00000000,,,,,,cpu,,ok
4,1,char_smoke,residual_update,supervised_ce,4.01388359,3.97864890,4.01388359,5.08626520,0.00000000,0.00000000,,,,,,cpu,,ok
5,1,char_smoke,residual_update,supervised_ce,4.01388359,3.97017455,4.01388359,6.32991292,0.00000000,0.00000000,,,,,,cpu,,ok
6,1,char_smoke,residual_update,supervised_ce,4.01388359,3.96183443,4.01388359,7.56085675,0.00000000,0.00000000,,,,,,cpu,,ok
7,1,char_smoke,residual_update,supervised_ce,4.01388359,3.95363259,4.01388359,8.78166015,0.00000000,0.00000000,,,,,,cpu,,ok
8,1,char_smoke,residual_update,supervised_ce,4.01388359,3.94556999,4.01388359,9.99453376,0.00000000,0.00000000,,,,,,cpu,,ok
9,1,char_smoke,residual_update,supervised_ce,4.01388359,3.93764544,4.01388359,11.20129622,0.00000000,0.00000000,,,,,,cpu,,ok
10,1,char_smoke,residual_update,supervised_ce,4.01388359,3.92986178,4.01388359,12.40341429,0.00000000,0.00000000,,,,,,cpu,,ok
